2025-02-20 19:24:05,604 - src.utils.logger - ERROR - Error loading knowledge graph: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<string>, line 1)
2025-02-20 19:24:05,604 - src.utils.logger - ERROR - Error setting up training environment: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<string>, line 1)
2025-02-20 19:24:05,605 - src.utils.logger - ERROR - Training error: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<string>, line 1)
2025-02-20 19:24:56,072 - src.utils.logger - ERROR - Error setting up training environment: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 111] Connection refused)
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 99] Cannot assign requested address)
2025-02-20 19:24:56,073 - src.utils.logger - ERROR - Training error: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 111] Connection refused)
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 99] Cannot assign requested address)
2025-02-20 19:25:55,218 - src.utils.logger - INFO - Loaded CSV with 300 rows
2025-02-20 19:25:55,241 - src.utils.logger - INFO - Processed 235 entities and 300 relationships
2025-02-20 19:25:55,245 - src.utils.logger - ERROR - Error setting up training environment: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 111] Connection refused)
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 99] Cannot assign requested address)
2025-02-20 19:25:55,246 - src.utils.logger - ERROR - Training error: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 111] Connection refused)
Failed to establish connection to ResolvedIPv6Address(('::1', 7687, 0, 0)) (reason [Errno 99] Cannot assign requested address)
2025-02-20 19:30:01,331 - src.utils.logger - INFO - Loaded CSV with 300 rows
2025-02-20 19:30:01,351 - src.utils.logger - INFO - Processed 235 entities and 300 relationships
2025-02-20 19:30:01,352 - src.utils.logger - INFO - Successfully loaded knowledge graph with 300 relationships
2025-02-20 19:30:05,358 - src.utils.logger - ERROR - Error setting up training environment: Unable to retrieve routing information
2025-02-20 19:30:05,359 - src.utils.logger - ERROR - Training error: Unable to retrieve routing information
2025-02-20 19:31:01,159 - src.utils.logger - INFO - Retrieved 300 threat patterns and 300 attack techniques
2025-02-20 19:31:01,160 - src.utils.logger - ERROR - Error processing CVE data: 'severity'
2025-02-20 19:31:01,160 - src.utils.logger - ERROR - Error setting up training environment: 'severity'
2025-02-20 19:31:01,161 - src.utils.logger - ERROR - Training error: 'severity'
2025-02-20 19:31:59,891 - src.utils.logger - INFO - Retrieved 300 threat patterns and 300 attack techniques
2025-02-20 19:31:59,892 - src.utils.logger - ERROR - Error processing CVE data: 'severity'
2025-02-20 19:32:13,536 - src.utils.logger - INFO - Retrieved 300 threat patterns and 300 attack techniques
2025-02-20 19:32:13,537 - src.utils.logger - ERROR - Error processing CVE data: 'severity'
2025-02-20 19:32:15,376 - src.utils.logger - INFO - Starting training loop...
2025-02-20 19:32:17,119 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:32:17,184 - src.utils.logger - ERROR - Training error: mat1 and mat2 shapes cannot be multiplied (1x10 and 7x128)
2025-02-20 19:33:03,805 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:33:03,805 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:33:03,805 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:33:07,820 - src.utils.logger - INFO - Retrieved 300 threat patterns and 300 attack techniques
2025-02-20 19:33:07,822 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:33:07,825 - src.utils.logger - ERROR - Error processing CVE data: 'severity'
2025-02-20 19:33:07,828 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:33:07,880 - src.utils.logger - INFO - Creating feature vector...
